name	investment	area	industry	time	operationmode	mechanism	level	term	people	tele	schedule	overview	scope
贵州省铜仁市漩水湾污水处理扩建工程	1.11亿元	贵州省	市政工程	待定	BOT	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		3万吨污水处理厂一座，污水收集管网13944米。	
													
贵州省黔南州龙里县笋子塘供水工程	3.6113亿元	贵州省	市政工程	待定	BOT	特许经营/购买服务/财政补贴	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		新建规模10万吨/日水厂一座，配套供水量10万吨/日设计配水管网，5000立方米高位水池一座；敷设DN720（2PE）管4千米，DN630球墨铸铁输水管6.35千米，DN630—DN315PE配水管19.08千米。	
													
贵州省黔西南州贞丰县城供水二期工程	0.6046亿元	贵州省	市政工程	待定	BOT	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		新建2万吨净水厂一座，输水、配水管网47公里。	
													
贵州省黔西南州册亨县城供水二期工程项目	0.3495亿元	贵州省	市政工程	待定	BOT	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		新建的取、输水工程及净水厂的建设规模为10000吨/日。主要工程内容：新建坝潮水库至净水厂DN400输水管6400米；新建10000吨/日净水厂一座；新建DN100—DN400配水管网16075米，配水管网的建设规模为15000吨/日。	
													
贵州省黔南州罗甸县县城供水工程	1.50亿元	贵州省	市政工程	待定	BO0、B00T	财政补贴	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		新建水处理厂1座，产水能力30000吨/日，新建输水管、配水管道15.0公里，改造配水管道20公里。	
													
贵州省黔南州平塘县城供水二期工程	0.4991亿元	贵州省	市政工程	待定	BOOT	股权合作	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		新建水厂1座1.5万吨/日，输水管2620米，配水井、絮凝池、沉淀池、消毒间等，配水管网总长19980米。	
													
贵州省黔南州三都县城市新区供水工程	0.60亿元	贵州省	市政工程	待定	BOT	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		"新建净水厂一座，沿规划图主街道铺设供水管网管径为DE315---DE110PE管，总长6515米，每隔120米设置消防栓一个；分管网及进户管网采用PPR50及PPR25供水管，DN20水表及相应管配件;县城东水厂开口搭接DE315供水主管道至万户水寨大门口，全长4100米,沿万户水寨商业步行街铺设DE250---DE110的供水管至巴茅寨尾，管网全线总长5113米，每隔120米设置消防栓一个,移民街铺设DE160的供水管至巴茅寨尾，每隔120米设消防栓一个，50M设节点井一个。"	
													
贵州省黔西南州晴隆县城供水管网改扩建工程	0.2953亿元	贵州省	市政工程	待定	BOT/BOO/BOOT	股权合作	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		"改扩建城区配水管网29972米,使配水规模达到1.4万吨/日，购置管网遥测遥讯系统一套，建设2000m3高位水池2座，减压水池3座，室外消火栓202套，以及相应的检修阀门、排气排泥阀门和阀门井等。"	
													
贵州省黔南州福泉市城市智能停车系统项目	0.35亿元	贵州省	市政工程	待定	BOT	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		智能车位感应终端不少于1089个，智能停车管理指挥中心1座，城市停车引导设施20套。	
													
贵州省黔东南州丹寨县城供水二期项目	0.7093亿元	贵州省	市政工程	待定	BOT	股权合作	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		新增3万吨/日水处理厂一座，新建配水管网41370米。	
													
贵州省黔东南州天柱县城供水扩建工程	0.9919亿元	贵州省	市政工程	待定	BOT	购买服务	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		城区DN100-DN600配水管网总计60950米；2万吨/日。	
													
贵州省铜仁市百里锦江国际生态旅游度假区观光轨道交通工程	25.95亿元	贵州省	交通运输	待定	BOO	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		正线全长55.6公里，共设车站18座。	
													
贵州省毕节市双山新区营盘山森林公园	5.60亿元	贵州省	林业	待定	BOT	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		步游到等旅游基础设施	
													
贵州省毕节市百里杜鹃米底河景区开发项目	5.00亿元	贵州省	旅游	待定	BOO	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		开发建设国家5A级景区百里杜鹃的米底河景区，改造和新建彝族古民居150栋，新建550栋用作商业，满足游客美食、购物、休闲、娱乐、住宿等需求。	
													
